Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
The Big Short,"['Dede Gardner', ' Jeremy Kleiner', ' Brad Pitt']",False,2015,N/A,USA,Adam McKay,"Biography, Comedy, Drama, History","Three separate but parallel stories of the U.S mortgage housing crisis of 2005 are told. Michael Burry, an eccentric ex-physician turned one-eyed Scion Capital hedge fund manager, has traded traditional office attire for shorts, bare feet and a Supercuts haircut. He believes that the US housing market is built on a bubble that will burst within the next few years. Autonomy within the company allows Burry to do largely as he pleases, so Burry proceeds to bet against the housing market with the banks, who are more than happy to accept his proposal for something that has never happened in American history. The banks believe that Burry is a crackpot and therefore are confident in that they will win the deal. Jared Vennett with Deutschebank gets wind of what Burry is doing and, as an investor believes he too can cash in on Burry's beliefs. An errant telephone call to FrontPoint Partners gets this information into the hands of Mark Baum, an idealist who is fed up with the corruption in the financial industry. Baum and his associates, who work at an arms length under Morgan Stanley, decide to join forces with Vennett despite not totally trusting him. In addition to Burry's information, they further believe that most of the mortgages are overrated by the bond agencies, with the banks collating all the sub-prime mortgages under AAA packages. Charlie Geller and Jamie Shipley, who are minor players in a $30 million start-up garage company called Brownfield, get a hold of Vennett's prospectus on the matter. Wanting in on the action but not having the official clout to play, they decide to call an old ""friend"", retired investment banker Ben Rickert, to help out. All three of these groups work on the premise that the banks are stupid and don't know what's going on, while for them to win, the general economy has to lose, which means the suffering of the general investor who trusts the financial institutions. That latter aspect may not sit well with Baum. Some of these assumptions may be incorrect and may be far more manipulative than they could have ever imagined, which in turn may throw curves into the process.",Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",130 min,2015,7.8,"303,111",False,False,False,False,False,none
Bridge of Spies,"['Steven Spielberg', ' Marc Platt', ' Kristie Macosko Krieger']",False,2015,N/A,"Germany, India, USA",Steven Spielberg,"Drama, History, Thriller","In the cold war, a lawyer, James B. Donovan is recruited by the CIA and involved in an intense negotiation mission to release and exchange a CIA U-2 spy-plane pilot, Francis G. Powers. The pilot was arrested alive after his plane was shot down by the Soviet Union during a mission and stays in the company of a KGB intelligence officer, Rudolf Abel, who was arrested for espionage in the US.",Dreamworks Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",142 min,2015,7.6,"259,474",False,False,False,False,False,none
Brooklyn,['Finola Dwyer Amanda Posey'],False,2015,"$30,459,009","UK, Canada, Ireland, Belgium",John Crowley,"Drama, Romance","In late 1951, Eilis Lacey, a young Irish girl, emigrates to Brooklyn. Sponsored by Father Flood, a priest from her native town Enniscorthy, she is assured to find a full-time job there. But the early days are tough, seasickness being soon replaced by loneliness and homesickness, two feelings all the more acutely felt by Eilis for having had to leave behind her widowed mother and her dear sister Rose. She nevertheless little by little manages to find her footing by adapting to her job as a salesgirl, by studying bookkeeping at Brooklyn College as well as with a little help from both Father Flood and Mrs. Kehoe, the owner of the boarding school she now lives in. And not only does graduation follow but love shows its face in Tony, an Italian-American plumber, full of adoration and respect for her. They end up marrying, although keeping the thing secret. It is at that point that tragedy strikes inciting Eilis to return to Enniscorthy to support her mother morally. And there a strange thing happens : she gradually gets lured by the charms of her native place, going far as to let herself be wooed by Jim Farrell, a young local.",Fox Searchlight Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",117 min,2015,7.5,"115,318",False,False,False,False,False,none
Mad Max: Fury Road,['Doug Mitchell George Miller'],False,2015,"$129,483,877","Australia, USA",George Miller,"Action, Adventure, Sci-Fi, Thriller","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and almost everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",120 min,2015,8.1,"764,138",False,True,False,False,False,"beautiful, cinematography, visually appealing"
The Martian,"['Simon Kinberg', ' Ridley Scott', ' Michael Schaefer', ' Mark Huffam']",False,2015,"$202,313,768","UK, USA",Ridley Scott,"Adventure, Drama, Sci-Fi","During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring ""the Martian"" home, while his crewmates concurrently plot a daring, if not impossible, rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney's safe return.",20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",144 min,2015,8.0,"665,505",False,False,False,False,False,smart
The Revenant,"['Arnon Milchan', ' Steve Golin', ' Alejandro G. Iñárritu', ' Mary Parent', ' Keith Redmon']",False,2015,N/A,"USA, Hong Kong, Taiwan",Alejandro G. Iñárritu,"Action, Adventure, Biography, Drama, Western","While exploring the uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.",20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",156 min,2015,8.0,"603,483",True,False,True,False,True,"leonardo DiCarpio, survival, tom hardy, visually appealing, cinematography, visually appealing, Visually Striking"
Room,['Ed Guiney'],False,2015,"$14,677,654","Ireland, Canada, UK, USA",Lenny Abrahamson,"Drama, Thriller","ROOM tells the extraordinary story of Jack, a spirited 5-year-old who is looked after by his loving and devoted mother. Like any good mother, Ma dedicates herself to keeping Jack happy and safe, nurturing him with warmth and love and doing typical things like playing games and telling stories. Their life, however, is anything but typical--they are trapped--confined to a 10-by-10-foot space that Ma has euphemistically named Room. Ma has created a whole universe for Jack within Room, and she will stop at nothing to ensure that, even in this treacherous environment, Jack is able to live a complete and fulfilling life. But as Jack's curiosity about their situation grows, and Ma's resilience reaches its breaking point, they enact a risky plan to escape, ultimately bringing them face-to-face with what may turn out to be the scariest thing yet: the real world.",Element Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",118 min,2015,8.2,"303,978",False,False,False,False,False,"moving, touching"
Moonlight,"['Adele Romanski', ' Dede Gardner', ' Jeremy Kleiner']",True,2016,"$27,850,910",USA,Barry Jenkins,Drama,"Three time periods - young adolescence, mid-teen and young adult - in the life of black-American Chiron is presented. When a child, Chiron lives with his single, crack addict mother Paula in a crime ridden neighborhood in Miami. Chiron is a shy, withdrawn child largely due to his small size and being neglected by his mother, who is more concerned about getting her fixes and satisfying her carnal needs than taking care of him. Because of these issues, Chiron is bullied, the slurs hurled at him which he doesn't understand beyond knowing that they are meant to be hurtful. Besides his same aged Cuban-American friend Kevin, Chiron is given what little guidance he has in life from a neighborhood drug dealer named Juan, who can see that he is neglected, and Juan's caring girlfriend Teresa, whose home acts as a sanctuary away from the bullies and away from Paula's abuse. With this childhood as a foundation, Chiron may have a predetermined path in life, one that will only be magnified in terms of its problems when he reaches his difficult teen years when peer pressure affects what he and many of his peers do, unless he follows Juan's advice of truly making his own decisions for himself.",A24 Films,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '99/100'}]",111 min,2016,7.4,"218,370",False,False,True,False,False,none
Arrival,"['Shawn Levy', ' Dan Levine', ' Aaron Ryder', ' David Linde']",False,2016,"$100,501,349",USA,Denis Villeneuve,"Drama, Mystery, Sci-Fi, Thriller","Linguistics professor Louise Banks leads an elite team of investigators when gigantic spaceships touchdown in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.",21 Laps Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",116 min,2016,7.9,"496,569",False,False,False,False,False,"beautiful visuals, Cerebral, cinematography, good cinematography, smart, thought-provoking, visually appealing"
Fences,"['Scott Rudin', ' Denzel Washington', ' Todd Black']",False,2016,"$57,642,961","USA, Canada",Denzel Washington,Drama,"Troy Maxson makes his living as a sanitation worker in 1950s Pittsburgh. Maxson once dreamed of becoming a professional baseball player, but was deemed too old when the major leagues began admitting black athletes. Bitter over his missed opportunity, Troy creates further tension in his family when he squashes his son's chance to meet a college football recruiter.",Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",139 min,2016,7.2,"84,576",False,False,False,False,False,none
